,loss,accuracy,val_loss,val_accuracy
0,1.0195183753967285,0.47453704476356506,0.9186069369316101,0.5803571343421936
1,0.8598930835723877,0.6099537014961243,0.7425218224525452,0.7232142686843872
2,0.7433695793151855,0.7060185074806213,0.7516583204269409,0.6607142686843872
3,0.717978298664093,0.6666666865348816,0.6972183585166931,0.7232142686843872
4,0.6468048691749573,0.7337962985038757,0.7833656668663025,0.6830357313156128
5,0.6438109874725342,0.7384259104728699,0.753378689289093,0.6651785969734192
6,0.5865471959114075,0.7465277910232544,0.6328433752059937,0.7098214030265808
7,0.5601009726524353,0.7696759104728699,0.6615182757377625,0.7053571343421936
8,0.5471771359443665,0.7691401839256287,0.661734938621521,0.6919642686843872
9,0.5622132420539856,0.7581018805503845,0.6517057418823242,0.7098214030265808
10,0.5651882886886597,0.7662037014961243,0.6341990232467651,0.75
11,0.5206528306007385,0.7754629850387573,0.8006585240364075,0.6339285969734192
12,0.4879148006439209,0.7893518805503845,0.5784820914268494,0.75
13,0.5316445231437683,0.7685185074806213,0.5822352170944214,0.7544642686843872
14,0.4659479856491089,0.8125,0.6096461415290833,0.75
15,0.48818498849868774,0.7832744121551514,0.6716734766960144,0.7232142686843872
16,0.46679550409317017,0.8043981194496155,0.7067427635192871,0.7098214030265808
17,0.4658289849758148,0.8162544369697571,0.6982895731925964,0.71875
18,0.4636417031288147,0.8148148059844971,0.5447314977645874,0.7589285969734192
19,0.4773578941822052,0.7986111044883728,0.6061997413635254,0.7410714030265808
20,0.4476190507411957,0.8090277910232544,0.5480504035949707,0.7767857313156128
21,0.4690731167793274,0.8138986825942993,0.5760146975517273,0.7455357313156128
22,0.43222981691360474,0.8009259104728699,0.5776439309120178,0.6919642686843872
23,0.44825735688209534,0.8280329704284668,0.5858477354049683,0.75
24,0.424871563911438,0.8101851940155029,0.5987201929092407,0.7232142686843872
25,0.4022112488746643,0.8333333134651184,0.6143927574157715,0.7410714030265808
26,0.4067799746990204,0.8356481194496155,0.6723376512527466,0.7142857313156128
27,0.41972315311431885,0.8310185074806213,0.5634048581123352,0.7901785969734192
28,0.3524625599384308,0.8657243847846985,0.6072074770927429,0.7455357313156128
29,0.3518747091293335,0.8483796119689941,0.6229591965675354,0.7723214030265808
30,0.3798484802246094,0.8457008004188538,0.5495850443840027,0.7678571343421936
31,0.3998710513114929,0.8310185074806213,0.7126568555831909,0.71875
32,0.3313159644603729,0.8703703880310059,0.6744513511657715,0.7232142686843872
33,0.40556296706199646,0.8483796119689941,0.6097272038459778,0.7410714030265808
34,0.39783912897109985,0.8445229530334473,0.5751175880432129,0.75
